Фонд за здравствено осигурување - Мајка Тереза,Македонија бр.5,"a44e5d14844d4f0e9b3f178e65a5aa46&extent=21.4293,41.9924,21.4353,41.9949"
Полициска станица Гази Баба,ул. Јани Лукровски бб,"b2a2b2995b63431394ce70a33c953da3&extent=21.3687,41.9677,21.5583,42.0386"
Министерство за економија,Јуриј Гагарин бр. 15,"d4484f0571de457e8c5b461f6ac216c7&extent=21.4105,41.9945,21.4112,41.9948"
Агенција за супервизија на капитално финансирано пензиско осигурување,Стив Наумов бр.100,"fea96d551c754ab0921cec4338b1b508&extent=21.4361,41.9911,21.4363,41.9911"
Полициска станица Драчево,ул. Бранко Заревски бб,"4cd99518238b44f1b321ed716846c105&extent=21.4668,41.9216,21.5616,41.9571"
Управа за водење на Матични Книги-Шуто Оризари,ул. Хаџи Јован Шишков бб,"249e698b1ef64bb8b806aa6299d9b76a&extent=21.3345,41.9816,21.524,42.0597"
Агенција за цивилнo воздухопловство,Даме Груев бр.1,"96fd293c96a4444d824e96ff1b478aac&extent=21.4302,41.9907,21.4362,41.9931"
Фонд за здравствено осигурување - Црвен Крст,Булевар Кочо Рацин бб,"b51f5442e9be40df997e3d964c940d6c&extent=21.4387,41.9921,21.4417,41.9934"
Технички преглед ЦЕРТУС-ЦРЦ регистрација на возила,Методија Андонов Ченто бр.15а,"dec9f7459501416f81659166b42d74a4&extent=21.4883,42.0039,21.4885,42.004
"
Министерство за труд и социјална политика,ул. Даме Груев бр. 14,"af59a05401064e0e9e67769b22095e07&extent=21.3815,41.9746,21.4763,42.0137"
ПСС - Ново Лисиче,Бул. Видое Смилевски Бато бр.6,"cdaa976260584335a64c42ad9ebe169e&extent=21.472,41.9815,21.4722,41.9816"
Здружение на возачите на Град Скопје - Дирекција,Булевар Климент Охридски бр. 58б,"5b223050b6a24bd9b47b037f1b254c7b&extent=21.4246,41.9959,21.4248,41.996"
Управа за заштита на културното наследство на Македонија,Павел Шатев бр. 3,"1529a19ae2a64a33b0dfbf9a860672f7&extent=21.4315,41.9873,21.4323,41.9875
"
Управа за водење на матични книги-Драчево,ул. Петар Дељан бр.5,"950e4f232b1d48328b5ed83160552629&extent=21.4416,41.9815,21.4418,41.9816
"
Полициска станица Центар,ул. Даме Груев бр.7,"73c71ffb6af2462aad664b0eb4d00ad4&extent=21.4267,41.9934,21.4271,41.9935
"
Станица за технички преглед АМСМ,Митрополит Теодосиј Гологанов бр.51,"7cc93d6fb252404ca69e703536fda523&extent=21.4206,41.9944,21.4208,41.9945"
Општина Аеродром,Булевар Јане Сандански бр.109б,"59e4783d8f7d47c5a49c22a6843eb3b7&extent=21.4141,41.9494,21.6036,42.0204"
Управа за водење на матични книги-Маџари,ул. Благоја Стефковски бб,"e749d7537dcc46399e04a16ae5efc1a5&extent=21.4994,41.9957,21.4996,41.9958
"
АМСМ Чаир,Лазар Трповски бб,"1b74f09ff7f449d684ef94af496a88f4&extent=21.4336,42.0237,21.4338,42.0237"
МВР- Одделение за управни работи во МТВ,"бул.Гоце Делчев, зграда на МТВ бр.18","4fab231cd53e474b917d3fd4fa9c5966&extent=21.3659,41.9528,21.5554,42.0238"
Здружение на возачите на Град Скопје,ул. Народни Херои бр. 16,"65dd11c2ecd744e0b3dc3d18edfea7d5&extent=21.4485,41.9794,21.4487,41.9794"
Агенција за вработување на Република Северна Македонија,Васил Ѓоргов бр. 43,"438905c53177490d86cf01d9c788146a&extent=21.4134,41.993,21.4135,41.993"
Државен завод за индустриска сопственост,11 Октомври бр.25,"42fefac8c60d4f118bf83e2aaf3b3a4a&extent=21.434,41.9881,21.44,41.9906"
Управа за водење на матични книги-Илинден,ул. 9 бб – Илинден,"7b43725627d745f9b3af69ac4da394c0&extent=21.5756,41.9944,21.5758,41.9944"
Управа за водење на матични книги-Арачиново,ул. 14 бр.15,"54ea81c295ca4472909200fed13659a3&extent=21.5629,42.027,21.5631,42.0271"
Центар за катастар на недвижности Скопје,Дрезденска бб,"6ba5cc894613491286f17eb6fdd128e5&extent=21.4072,41.9997,21.4076,41.9998"
Општина Чаир,Булевар Христијан Тодоровски Карпош бб,"84561a32404e4e6abd51f910f8b085d9&extent=21.448,42.0206,21.4482,42.0207"
